BOROUGH,NEIGHBORHOOD,BUILDING CLASS CATEGORY,TAX CLASS AT PRESENT,BLOCK,LOT,EASE-MENT,BUILDING CLASS AT PRESENT,ADDRESS,APARTMENT NUMBER,ZIP CODE,RESIDENTIAL UNITS,COMMERCIAL UNITS,TOTAL UNITS,LAND SQUARE FEET,GROSS SQUARE FEET,YEAR BUILT,TAX CLASS AT TIME OF SALE,BUILDING CLASS AT TIME OF SALE, SALE PRICE ,SALE DATE
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6280,50,,B2,197 NORTH RAILROAD ST,,10312,2,0,2,"4,270","2,294",2012,1,B2,"1,060,000",2020/3/30
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6300,71,,B2,211 DELMAR AVENUE,,10312,2,0,2,"6,000","2,264",1970,1,B2,0,2019/9/20
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6305,11,,B2,798 WOODROW ROAD,,10312,2,0,2,"9,282","2,480",1987,1,B2,0,2019/8/12
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6305,102,,B2,61 DELMAR AVENUE,,10312,2,0,2,"9,525","3,286",1984,1,B2,"895,000",2019/12/18
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6320,1,,B2,54 BUFFINGTON AVENUE,,10312,2,0,2,"4,000","2,840",2018,1,B2,"942,006",2019/11/7
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6323,22,,B2,5175 AMBOY ROAD,,10312,2,0,2,"5,144","1,620",2010,1,B2,0,2019/8/29
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6350,1,,B2,455 HOLDRIDGE AVENUE,,10312,2,0,2,"13,701","4,400",1986,1,B2,"950,000",2019/10/16
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6352,3,,B9,4774 HYLAN BOULEVARD,,10312,2,0,2,"4,002","2,200",1994,1,B2,"733,000",2019/11/18
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6354,6,,B2,4816 HYLAN BLVD,,10312,2,0,2,"6,000","2,980",1993,1,B2,0,2020/1/23
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6354,6,,B2,4816 HYLAN BOULEVARD,,10312,2,0,2,"6,000","2,980",1993,1,B2,10,2019/8/28
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6357,11,,B2,411 HOLDRIDGE AVENUE,,10312,2,0,2,"7,000","4,488",1986,1,B2,0,2020/4/10
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6359,7,,B2,57 RYAN PLACE,,10312,2,0,2,"6,000","3,126",1984,1,B2,0,2019/8/20
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6359,42,,B2,24 PEARE PLACE,,10312,2,0,2,"4,000","2,000",1980,1,B2,0,2019/6/5
5,ANNADALE,02 TWO FAMILY DWELLINGS,1,6403,18,,B2,365 KINGHORN STREET,,10312,2,0,2,"4,000","2,600",2001,1,B2,"830,000",2019/6/28
